city,country,date_time,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,lat,lon
Vancouver,CA,2025-03-06 13:00:00,5.53,5.53,5.53,5.54,clear sky,1016,80,1.04,139,49.2497,-123.1193
Vancouver,CA,2025-03-06 14:00:00,5.77,5.77,5.77,6.74,clear sky,1016,76,0.87,225,49.2497,-123.1193
Vancouver,CA,2025-03-06 15:00:00,6.3,5.4,6.3,7.45,scattered clouds,1016,72,1.52,274,49.2497,-123.1193
Vancouver,CA,2025-03-06 16:00:00,6.98,5.24,6.98,7.95,scattered clouds,1015,68,2.51,275,49.2497,-123.1193
Vancouver,CA,2025-03-06 17:00:00,7.87,6.45,7.87,8.46,scattered clouds,1015,63,2.31,272,49.2497,-123.1193
Vancouver,CA,2025-03-06 18:00:00,8.54,7.03,8.54,8.54,scattered clouds,1015,59,2.59,276,49.2497,-123.1193
Vancouver,CA,2025-03-06 19:00:00,8.76,8.23,8.76,8.76,few clouds,1014,56,1.5,280,49.2497,-123.1193
Vancouver,CA,2025-03-06 20:00:00,8.63,8.05,8.63,8.63,few clouds,1014,56,1.53,263,49.2497,-123.1193
Vancouver,CA,2025-03-06 21:00:00,8,8,8,8,few clouds,1014,59,0.98,228,49.2497,-123.1193
Vancouver,CA,2025-03-06 22:00:00,6.6,6.6,6.6,6.6,few clouds,1015,65,0.78,215,49.2497,-123.1193
Vancouver,CA,2025-03-06 23:00:00,6.2,6.2,6.2,6.2,clear sky,1015,70,1.12,116,49.2497,-123.1193
Vancouver,CA,2025-03-07 00:00:00,5.79,4.82,5.79,5.79,scattered clouds,1016,74,1.52,93,49.2497,-123.1193
Vancouver,CA,2025-03-07 01:00:00,5.46,3.4,5.46,5.46,scattered clouds,1016,75,2.56,88,49.2497,-123.1193
Vancouver,CA,2025-03-07 02:00:00,4.67,2.21,4.67,4.67,scattered clouds,1016,79,2.87,94,49.2497,-123.1193
Vancouver,CA,2025-03-07 03:00:00,4.48,2.08,4.48,4.48,overcast clouds,1017,81,2.75,89,49.2497,-123.1193
Vancouver,CA,2025-03-07 04:00:00,4.41,2.14,4.41,4.41,broken clouds,1017,82,2.57,88,49.2497,-123.1193
Vancouver,CA,2025-03-07 05:00:00,4.11,1.27,4.11,4.11,overcast clouds,1018,82,3.23,87,49.2497,-123.1193
Vancouver,CA,2025-03-07 06:00:00,4.05,0.88,4.05,4.05,broken clouds,1018,82,3.7,84,49.2497,-123.1193
Vancouver,CA,2025-03-07 07:00:00,4.05,0.81,4.05,4.05,broken clouds,1018,81,3.81,81,49.2497,-123.1193
Vancouver,CA,2025-03-07 08:00:00,4.52,1.03,4.52,4.52,overcast clouds,1018,80,4.42,81,49.2497,-123.1193
Vancouver,CA,2025-03-07 09:00:00,5.1,1.6,5.1,5.1,overcast clouds,1019,80,4.72,88,49.2497,-123.1193
Vancouver,CA,2025-03-07 10:00:00,5.19,1.82,5.19,5.19,overcast clouds,1019,80,4.5,90,49.2497,-123.1193
Vancouver,CA,2025-03-07 11:00:00,5.19,2.01,5.19,5.19,overcast clouds,1020,81,4.15,94,49.2497,-123.1193
Vancouver,CA,2025-03-07 12:00:00,5.38,2.18,5.38,5.38,overcast clouds,1020,81,4.26,105,49.2497,-123.1193
Victoria,CA,2025-03-06 13:00:00,5,5,5,6.63,clear sky,1016,85,0.12,90,48.4329,-123.3693
Victoria,CA,2025-03-06 14:00:00,5.58,5.58,5.58,7.91,clear sky,1016,80,0.57,155,48.4329,-123.3693
Victoria,CA,2025-03-06 15:00:00,6.43,6.43,6.43,8.58,few clouds,1016,75,0.99,142,48.4329,-123.3693
Victoria,CA,2025-03-06 16:00:00,7.33,7.33,7.33,8.88,scattered clouds,1016,70,1.03,133,48.4329,-123.3693
Victoria,CA,2025-03-06 17:00:00,8.14,7.37,8.14,8.92,scattered clouds,1015,65,1.64,161,48.4329,-123.3693
Victoria,CA,2025-03-06 18:00:00,8.61,7.51,8.61,8.61,scattered clouds,1015,63,2.07,176,48.4329,-123.3693
Victoria,CA,2025-03-06 19:00:00,8.51,7.91,8.51,8.51,few clouds,1015,65,1.54,188,48.4329,-123.3693
Victoria,CA,2025-03-06 20:00:00,8.37,7.49,8.37,8.37,few clouds,1015,65,1.79,216,48.4329,-123.3693
Victoria,CA,2025-03-06 21:00:00,7.95,6.58,7.95,7.95,clear sky,1015,71,2.26,242,48.4329,-123.3693
Victoria,CA,2025-03-06 22:00:00,6.17,3.93,6.17,6.17,clear sky,1015,80,2.98,278,48.4329,-123.3693
Victoria,CA,2025-03-06 23:00:00,5.24,2.42,5.24,5.24,clear sky,1015,85,3.55,288,48.4329,-123.3693
Victoria,CA,2025-03-07 00:00:00,4.89,2.09,4.89,4.89,clear sky,1016,86,3.41,273,48.4329,-123.3693
Victoria,CA,2025-03-07 01:00:00,4.69,2.22,4.69,4.69,clear sky,1016,86,2.89,271,48.4329,-123.3693
Victoria,CA,2025-03-07 02:00:00,4.61,1.71,4.61,4.61,few clouds,1016,86,3.47,263,48.4329,-123.3693
Victoria,CA,2025-03-07 03:00:00,4.38,1.39,4.38,4.38,overcast clouds,1017,87,3.53,257,48.4329,-123.3693
Victoria,CA,2025-03-07 04:00:00,4.1,1.26,4.1,4.1,overcast clouds,1017,88,3.22,254,48.4329,-123.3693
Victoria,CA,2025-03-07 05:00:00,3.93,1.25,3.93,3.93,overcast clouds,1017,89,2.96,252,48.4329,-123.3693
Victoria,CA,2025-03-07 06:00:00,3.82,1.52,3.82,3.82,broken clouds,1018,89,2.48,245,48.4329,-123.3693
Victoria,CA,2025-03-07 07:00:00,3.85,1.42,3.85,3.85,broken clouds,1018,89,2.63,239,48.4329,-123.3693
Victoria,CA,2025-03-07 08:00:00,3.92,1.48,3.92,3.92,broken clouds,1018,90,2.66,234,48.4329,-123.3693
Victoria,CA,2025-03-07 09:00:00,3.97,1.61,3.97,3.97,overcast clouds,1019,90,2.58,230,48.4329,-123.3693
Victoria,CA,2025-03-07 10:00:00,4.17,1.74,4.17,4.17,overcast clouds,1019,89,2.71,229,48.4329,-123.3693
Victoria,CA,2025-03-07 11:00:00,4.62,2.15,4.62,4.62,overcast clouds,1020,88,2.87,233,48.4329,-123.3693
Victoria,CA,2025-03-07 12:00:00,5.55,3.76,5.55,5.55,overcast clouds,1020,84,2.26,219,48.4329,-123.3693
Calgary,CA,2025-03-06 13:00:00,1.63,-1.12,0.87,1.63,clear sky,1011,73,2.53,270,51.0501,-114.0853
