city,country,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,datetimestamp
Vancouver,CA,5.5,3.43,4.57,6.83,broken clouds,1020,93,2.57,80,2025-03-05 11:00:00
Vancouver,CA,6.19,6.19,5.14,6.83,broken clouds,1020,91,0.89,79,2025-03-05 12:00:00
Vancouver,CA,6.54,4.94,5.14,7.79,few clouds,1020,90,2.24,58,2025-03-05 13:00:00
Vancouver,CA,7.02,4.57,5.69,7.9,scattered clouds,1020,87,3.58,34,2025-03-05 14:00:00
Vancouver,CA,7.25,5.43,6.1,7.94,broken clouds,1019,85,2.68,28,2025-03-05 15:00:00
Vancouver,CA,8.25,5.56,7.35,8.9,broken clouds,1019,80,4.63,130,2025-03-05 16:00:00
Vancouver,CA,9.47,7.14,8.47,10.71,broken clouds,1018,79,4.47,130,2025-03-05 17:00:00
Vancouver,CA,9.41,7.75,7.58,10.69,scattered clouds,1018,77,3.09,250,2025-03-05 18:00:00
Vancouver,CA,9.94,8.71,8.47,11.53,broken clouds,1017,76,2.57,280,2025-03-05 19:00:00
Vancouver,CA,10.03,8.99,8.57,11.36,scattered clouds,1016,73,3.13,308,2025-03-05 20:00:00
Vancouver,CA,9.59,7.69,8.46,10.81,few clouds,1016,71,3.6,310,2025-03-05 21:00:00
Vancouver,CA,8.19,5.36,7.35,8.9,few clouds,1016,69,4.92,240,2025-03-05 22:00:00
Vancouver,CA,6.28,3.37,5.14,7.57,few clouds,1016,79,4.12,290,2025-03-05 23:00:00
Vancouver,CA,5.66,2.6,4.86,6.79,clear sky,1016,83,4.12,310,2025-03-06 00:00:00
Vancouver,CA,5.19,2.02,4.05,6.53,clear sky,1016,85,4.12,310,2025-03-06 01:00:00
Vancouver,CA,4.39,3.2,3.47,5.53,clear sky,1016,85,1.54,340,2025-03-06 02:00:00
Vancouver,CA,4.15,4.15,2.94,5.53,clear sky,1015,88,0.89,153,2025-03-06 03:00:00
Vancouver,CA,3.24,3.24,2.38,4.69,clear sky,1015,87,0.45,254,2025-03-06 04:00:00
Vancouver,CA,2.87,-0.83,1.66,4.6,clear sky,1015,89,4.12,320,2025-03-06 05:00:00
Vancouver,CA,2.37,-0.73,1.1,4.6,clear sky,1016,90,3.09,310,2025-03-06 06:00:00
Vancouver,CA,2.43,-1.37,1.24,4.53,clear sky,1016,89,4.12,340,2025-03-06 07:00:00
Vancouver,CA,2.59,-1.39,1.24,4.53,clear sky,1016,89,4.47,237,2025-03-06 08:00:00
Vancouver,CA,2.04,0.51,0.68,3.49,clear sky,1016,89,1.54,360,2025-03-06 09:00:00
Vancouver,CA,2.34,-2.06,0.96,4.53,clear sky,1016,89,5.14,300,2025-03-06 10:00:00
Victoria,CA,4.38,2.11,3.16,5.98,broken clouds,1020,95,2.57,360,2025-03-05 11:00:00
Victoria,CA,4.56,1.56,3.87,6.16,broken clouds,1020,93,3.6,60,2025-03-05 12:00:00
Victoria,CA,6.04,4.08,4.98,7.2,broken clouds,1020,93,2.57,20,2025-03-05 13:00:00
Victoria,CA,7.16,5.83,5.98,8.13,broken clouds,1020,88,2.06,40,2025-03-05 14:00:00
Victoria,CA,7.76,5.76,6.98,9.16,broken clouds,1019,85,3.09,60,2025-03-05 15:00:00
Victoria,CA,8.76,6.97,7.76,10.03,broken clouds,1018,79,3.09,130,2025-03-05 16:00:00
Victoria,CA,8.83,7.31,8.04,10.16,broken clouds,1018,78,2.68,57,2025-03-05 17:00:00
Victoria,CA,9.68,8.4,8.21,10.83,broken clouds,1017,73,2.57,90,2025-03-05 18:00:00
Victoria,CA,10.31,9.2,9.42,11.44,broken clouds,1017,69,3.09,100,2025-03-05 19:00:00
Victoria,CA,9.95,8.95,8.87,11.16,scattered clouds,1016,71,2.24,175,2025-03-05 20:00:00
Victoria,CA,9.12,7.12,8.04,10.16,scattered clouds,1016,74,3.6,230,2025-03-05 21:00:00
Victoria,CA,8.11,6.53,6.98,9.16,scattered clouds,1016,78,2.57,230,2025-03-05 22:00:00
Victoria,CA,6.89,4.72,5.89,7.81,scattered clouds,1016,84,3.09,290,2025-03-05 23:00:00
Victoria,CA,6.36,4.89,5.11,7.25,scattered clouds,1016,84,2.06,270,2025-03-06 00:00:00
Victoria,CA,5.69,4.11,4.16,6.65,few clouds,1016,85,2.06,280,2025-03-06 01:00:00
Victoria,CA,4.93,2.76,3.98,6.21,few clouds,1016,87,2.57,350,2025-03-06 02:00:00
Victoria,CA,4.65,2.02,3.16,6.16,clear sky,1016,88,3.09,250,2025-03-06 03:00:00
Victoria,CA,4.43,2.64,2.98,5.16,clear sky,1016,88,2.06,260,2025-03-06 04:00:00
Victoria,CA,3.97,1.2,2.49,5.98,clear sky,1016,88,3.09,210,2025-03-06 05:00:00
Victoria,CA,3.42,1.46,1.94,5.09,clear sky,1016,89,2.06,250,2025-03-06 06:00:00
Victoria,CA,2.84,1.43,1.16,4.09,clear sky,1016,90,1.54,360,2025-03-06 07:00:00
Victoria,CA,2.85,1.44,1.38,4.2,clear sky,1016,88,1.54,360,2025-03-06 08:00:00
Victoria,CA,2.57,0.79,0.83,4.09,clear sky,1016,88,1.79,237,2025-03-06 09:00:00
Victoria,CA,2.52,-0.1,0.27,4.21,clear sky,1016,87,2.57,360,2025-03-06 10:00:00
Calgary,CA,0.01,-3.57,-1.03,0.92,overcast clouds,1015,70,3.09,330,2025-03-05 11:00:00
Calgary,CA,1.23,-1.63,-0.33,2.08,broken clouds,1016,67,2.57,330,2025-03-05 12:00:00
Calgary,CA,2.06,-0.65,1.34,2.5,broken clouds,1016,62,2.57,350,2025-03-05 13:00:00
Calgary,CA,3.17,-0.46,2.2,3.56,broken clouds,1015,51,4.12,340,2025-03-05 14:00:00
Calgary,CA,4.08,0.66,2.97,4.46,broken clouds,1015,48,4.12,360,2025-03-05 15:00:00
Calgary,CA,4.42,1.39,3.01,5.01,broken clouds,1014,48,3.6,350,2025-03-05 16:00:00
Calgary,CA,4.69,2.38,3.56,5.41,broken clouds,1014,48,2.68,332,2025-03-05 17:00:00
Calgary,CA,4.8,1.86,3.76,5.41,broken clouds,1014,48,3.6,360,2025-03-05 18:00:00
Calgary,CA,4.34,1.97,3.11,5.01,broken clouds,1014,52,2.68,33,2025-03-05 19:00:00
Calgary,CA,3.63,0.79,2.55,4.3,broken clouds,1014,58,3.09,70,2025-03-05 20:00:00
Calgary,CA,2.56,-0.15,1.34,3.14,broken clouds,1014,63,2.68,29,2025-03-05 21:00:00
Calgary,CA,1.35,-2.33,-0.13,2.2,broken clouds,1016,68,3.58,56,2025-03-05 22:00:00
Calgary,CA,0.2,-3.34,-0.55,0.97,broken clouds,1016,77,3.09,100,2025-03-05 23:00:00
Calgary,CA,0.03,-3.06,-1.24,0.57,broken clouds,1017,79,2.57,100,2025-03-06 00:00:00
Calgary,CA,-0.37,-2.96,-1.44,0.36,broken clouds,1017,81,2.06,160,2025-03-06 01:00:00
Calgary,CA,-0.87,-2.81,-1.99,-0.14,overcast clouds,1017,83,1.54,180,2025-03-06 02:00:00
Calgary,CA,-1.79,-5.73,-2.8,-0.75,broken clouds,1016,88,3.09,180,2025-03-06 03:00:00
Calgary,CA,-2.58,-6.16,-4.03,-1.82,few clouds,1015,89,2.57,180,2025-03-06 04:00:00
Calgary,CA,-3.12,-5.38,-4.43,-2.38,fog,1015,90,1.54,190,2025-03-06 05:00:00
Calgary,CA,-3.62,-6.76,-5.38,-2.36,mist,1015,90,2.06,190,2025-03-06 06:00:00
Calgary,CA,-3.7,-6.05,-4.99,-2.8,mist,1014,92,1.54,200,2025-03-06 07:00:00
Calgary,CA,-3.79,-6.15,-5.03,-2.42,mist,1014,92,1.54,220,2025-03-06 08:00:00
Calgary,CA,-3.91,-8.29,-5.03,-2.91,mist,1014,92,3.09,230,2025-03-06 09:00:00
Calgary,CA,-3.93,-8.31,-4.64,-2.91,mist,1014,92,3.09,210,2025-03-06 10:00:00
Edmonton,CA,-3.57,-8.34,-6.11,-2.21,broken clouds,1017,88,3.6,270,2025-03-05 11:00:00
Edmonton,CA,-2.53,-7.08,-4.55,-1.24,scattered clouds,1017,84,3.6,320,2025-03-05 12:00:00
Edmonton,CA,-0.67,-5.53,-2.55,0.47,scattered clouds,1017,74,4.63,320,2025-03-05 13:00:00
Edmonton,CA,-0.17,-4.91,-1.55,0.57,few clouds,1017,69,4.63,320,2025-03-05 14:00:00
