city,country,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,lat,lon,pressure,humidity,wind_speed,wind_deg,visibility,sunrise,sunset,datetimestamp
Vancouver,CA,5.52,1.49,4.14,6.27,clear sky,49.2497,-123.1193,1016,80,6.17,300,10000,2025-03-06 10:44:08,2025-03-06 22:03:26,2025-03-06 12:53:42
Victoria,CA,4.97,3.27,3.87,6.98,clear sky,48.4329,-123.3693,1016,86,2.06,30,10000,2025-03-06 10:44:30,2025-03-06 22:05:05,2025-03-06 12:52:29
Calgary,CA,1.56,-2.08,-0.16,3.14,clear sky,51.0501,-114.0853,1011,73,3.58,260,10000,2025-03-06 10:09:33,2025-03-06 21:25:46,2025-03-06 12:53:38
Edmonton,CA,1.74,-1.48,0.45,2.67,few clouds,53.5501,-113.4687,1010,66,3.09,260,10000,2025-03-06 10:09:21,2025-03-06 21:21:02,2025-03-06 12:53:00
Regina,CA,-10.01,-16.19,-10.01,-9.94,clear sky,50.4501,-104.6178,1017,90,3.6,240,10000,2025-03-06 09:31:13,2025-03-06 20:48:22,2025-03-06 12:56:18
Saskatoon,CA,-9.01,-16.01,-9.01,-9.01,few clouds,52.1168,-106.6345,1014,86,5.14,220,10000,2025-03-06 09:40:44,2025-03-06 20:55:00,2025-03-06 12:51:23
Winnipeg,CA,-6.58,-13.24,-7.01,-5.96,few clouds,49.8844,-97.147,1015,64,5.14,260,10000,2025-03-06 09:00:55,2025-03-06 20:18:55,2025-03-06 12:56:18
Toronto,CA,-3.11,-10.11,-3.84,-1.95,overcast clouds,43.7001,-79.4163,996,77,12.52,270,8047,2025-03-06 07:45:32,2025-03-06 19:12:29,2025-03-06 12:48:35
Ottawa,CA,3.43,-0.95,2.8,4.13,overcast clouds,45.4112,-75.6981,989,86,5.66,210,10000,2025-03-06 07:31:51,2025-03-06 18:56:26,2025-03-06 12:54:29
Montreal,CA,4.19,-1.42,2.91,5.08,broken clouds,45.5088,-73.5878,989,80,9.77,250,10000,2025-03-06 07:23:29,2025-03-06 18:47:55,2025-03-06 12:54:29
Québec,CA,3.41,1.26,3.02,4.52,overcast clouds,46.8123,-71.2145,988,97,2.24,165,32,2025-03-06 07:14:56,2025-03-06 18:37:28,2025-03-06 12:52:38
Fredericton,CA,8.86,5.41,8.57,10.58,moderate rain,45.9454,-66.6656,992,93,7.2,180,9656,2025-03-06 06:56:08,2025-03-06 18:19:53,2025-03-06 12:56:19
Saint John,CA,8.57,4.49,8.57,8.57,heavy intensity rain,45.2727,-66.0677,993,100,9.26,160,4828,2025-03-06 06:53:16,2025-03-06 18:17:58,2025-03-06 12:54:59
Halifax,CA,7.34,3.01,5.68,9.08,mist,44.6453,-63.5724,1001,93,8.75,170,6437,2025-03-06 06:42:52,2025-03-06 18:08:25,2025-03-06 12:56:19
Dartmouth,CA,7.15,2.76,5.44,8.83,mist,44.6713,-63.5772,1001,92,8.75,170,6437,2025-03-06 06:42:54,2025-03-06 18:08:25,2025-03-06 12:56:19
Charlottetown,CA,8.14,3.8,7.33,8.64,light rain,46.2352,-63.1267,1000,93,9.77,160,10000,2025-03-06 06:42:13,2025-03-06 18:05:31,2025-03-06 12:54:38
St. John's,CA,-0.77,-6.25,-1.34,0.15,light shower snow,47.5649,-52.7093,1020,86,5.66,170,10000,2025-03-06 06:01:35,2025-03-06 17:22:49,2025-03-06 12:56:19
